"統計年月","區域別","村里","戶數","總人口數","總人口數男","總人口數女","M20_34","F20_34","M35_49","F35_49","M50_64","F50_64","M65_79","F65_79","M80up","F80up","投票人口男","投票人口女"
"10309","新北市板橋區","中山里","1491","3902","1971","1931",456,467,418,484,472,417,217,166,46,67,1609,1601
"10309","新北市板橋區","中正里","1622","4628","2306","2322",575,620,539,573,585,443,202,158,36,56,1937,1850
"10309","新北市板橋區","九如里","1064","3058","1485","1573",319,341,387,361,355,286,174,118,41,32,1276,1138
"10309","新北市板橋區","五權里","1570","4463","2215","2248",517,550,498,523,541,451,241,188,43,52,1840,1764
"10309","新北市板橋區","仁愛里","1165","3356","1685","1671",352,406,368,361,448,390,214,117,40,75,1422,1349
"10309","新北市板橋區","仁翠里","1097","3099","1503","1596",373,404,351,339,426,336,182,154,28,19,1360,1252
"10309","新北市板橋區","介壽里","1199","3268","1579","1689",320,338,447,389,363,346,204,147,58,33,1392,1253
"10309","新北市板橋區","信義里","1670","4425","2200","2225",465,524,561,563,536,474,242,186,57,45,1861,1792
"10309","新北市板橋區","僑中里","1405","4305","2136","2169",638,690,463,397,604,506,105,110,13,15,1823,1718
"10309","新北市板橋區","光仁里","1038","3166","1556","1610",350,344,400,358,354,295,168,157,35,42,1307,1196
"10309","新北市板橋區","光復里","1263","3381","1712","1669",349,373,430,467,391,364,178,141,37,31,1385,1376
"10309","新北市板橋區","光榮里","987","2710","1339","1371",317,300,331,327,337,291,167,138,38,40,1190,1096
"10309","新北市板橋區","光華里","1107","2854","1423","1431",285,355,329,331,384,298,167,130,49,46,1214,1160
"10309","新北市板橋區","公<U+8218>里","1510","4259","2098","2161",434,453,524,494,466,423,259,188,68,57,1751,1615
"10309","新北市板橋區","吉翠里","1373","3951","1936","2015",520,556,438,437,531,428,161,143,23,19,1673,1583
"10309","新北市板橋區","和平里","1630","4050","1922","2128",434,398,749,616,330,229,108,85,24,29,1645,1357
"10309","新北市板橋區","國光里","1587","3955","1960","1995",384,441,442,454,551,457,264,133,89,130,1730,1615
"10309","新北市板橋區","國泰里","1470","3927","1874","2053",382,371,565,502,447,328,210,157,41,49,1645,1407
"10309","新北市板橋區","埔墘里","2542","6521","3113","3408",715,757,894,821,839,663,330,228,74,65,2852,2534
"10309","新北市板橋區","埤墘里","1664","4509","2173","2336",499,460,637,561,485,398,221,160,44,52,1886,1631
"10309","新北市板橋區","堂春里","1513","4621","2310","2311",561,675,563,497,561,473,120,95,50,28,1855,1768
"10309","新北市板橋區","大安里","1544","4417","2222","2195",505,587,528,520,528,445,231,183,37,54,1829,1789
"10309","新北市板橋區","大觀里","1324","3903","1905","1998",574,580,428,371,542,449,114,91,22,16,1680,1507
"10309","新北市板橋區","大豐里","1795","5062","2461","2601",519,607,609,558,656,486,288,244,58,59,2130,1954
"10309","新北市板橋區","宏翠里","2157","5040","2432","2608",584,604,798,738,574,427,198,167,35,20,2189,1956
"10309","新北市板橋區","富貴里","855","2356","1136","1220",259,270,293,246,330,261,136,122,28,24,1046,923
"10309","新北市板橋區","居仁里","1172","3393","1665","1728",440,504,382,334,481,406,148,110,34,15,1485,1369
"10309","新北市板橋區","崑崙里","3688","10484","5150","5334",1194,1258,1455,1312,1156,906,336,275,62,64,4203,3815
"10309","新北市板橋區","嵐翠里","984","2703","1371","1332",313,360,306,309,342,283,135,115,45,36,1141,1103
"10309","新北市板橋區","幸福里","1531","4333","2150","2183",488,513,529,523,497,420,246,192,53,44,1813,1692
"10309","新北市板橋區","廣德里","2509","7027","3415","3612",741,835,928,845,863,681,334,245,70,66,2936,2672
"10309","新北市板橋區","廣新里","1262","3816","1891","1925",402,446,491,437,447,379,201,162,37,29,1578,1453
"10309","新北市板橋區","廣福里","1568","4385","2157","2228",522,548,550,503,554,460,140,133,37,28,1803,1672
"10309","新北市板橋區","建國里","1426","3866","1886","1980",447,449,457,456,479,391,236,197,58,49,1677,1542
"10309","新北市板橋區","後埔里","1608","4012","1985","2027",411,476,491,468,532,425,212,163,56,55,1702,1587
"10309","新北市板橋區","復興里","347","1266","796","470",115,136,98,119,122,102,45,45,7,316,387,718
"10309","新北市板橋區","德翠里","2671","7656","3740","3916",880,901,1133,1043,856,698,215,172,41,23,3125,2837
"10309","新北市板橋區","忠翠里","4268","10863","5159","5704",1038,1026,1757,1417,1214,967,391,264,98,74,4498,3748
"10309","新北市板橋區","忠誠里","1655","4198","2051","2147",428,439,472,449,529,475,285,133,100,161,1814,1657
"10309","新北市板橋區","懷翠里","2234","6319","3127","3192",711,808,832,740,788,668,280,241,74,56,2685,2513
"10309","新北市板橋區","成和里","2406","6756","3346","3410",775,792,1022,938,652,551,174,153,49,39,2672,2473
"10309","新北市板橋區","振義里","1645","4431","2188","2243",487,521,585,610,519,420,246,189,45,43,1882,1783
"10309","新北市板橋區","振興里","1680","4695","2338","2357",544,630,513,538,596,524,283,183,57,56,1993,1931
"10309","新北市板橋區","挹秀里","733","1812","895","917",170,186,216,176,213,224,114,95,42,39,755,720
"10309","新北市板橋區","文化里","1292","3405","1672","1733",372,353,428,414,402,364,195,169,47,34,1444,1334
"10309","新北市板橋區","文德里","1170","3258","1609","1649",337,377,433,444,405,312,159,127,37,23,1371,1283
"10309","新北市板橋區","文翠里","1582","4185","2067","2118",468,515,529,515,522,414,239,191,64,51,1822,1686
"10309","新北市板橋區","文聖里","1447","4089","2017","2072",507,523,509,511,535,425,156,126,47,15,1754,1600
"10309","新北市板橋區","新埔里","877","2268","1106","1162",252,252,277,292,274,233,155,128,30,27,988,932
"10309","新北市板橋區","新民里","1734","4723","2321","2402",459,505,580,513,585,495,240,199,68,61,1932,1773
"10309","新北市板橋區","新海里","1250","3853","1923","1930",533,603,368,361,551,448,119,125,24,17,1595,1554
"10309","新北市板橋區","新生里","1534","4480","2255","2225",547,685,466,444,644,535,211,173,36,39,1904,1876
"10309","新北市板橋區","新翠里","3049","8261","3995","4266",994,1033,1121,988,1092,827,287,245,61,45,3555,3138
"10309","新北市板橋區","新興里","1503","3402","1642","1760",343,394,473,427,422,324,208,166,59,45,1505,1356
"10309","新北市板橋區","明翠里","1954","5172","2508","2664",604,620,590,600,679,538,309,250,78,47,2260,2055
"10309","新北市板橋區","景星里","1484","3653","1752","1901",391,382,488,424,448,380,200,153,65,46,1592,1385
"10309","新北市板橋區","朝陽里","1266","3608","1735","1873",465,491,403,402,506,343,195,151,28,20,1597,1407
"10309","新北市板橋區","東丘里","1706","5024","2473","2551",516,543,656,563,550,481,270,226,51,38,2043,1851
"10309","新北市板橋區","東安里","930","2859","1387","1472",297,342,357,311,321,241,106,103,15,15,1096,1012
"10309","新北市板橋區","松柏里","907","2413","1209","1204",276,320,283,290,314,254,118,96,19,13,1010,973
"10309","新北市板橋區","松翠里","1420","3624","1765","1859",398,428,454,423,457,400,198,151,43,31,1550,1433
"10309","新北市板橋區","柏翠里","1708","4185","2024","2161",482,473,559,502,500,409,240,179,54,39,1835,1602
"10309","新北市板橋區","歡園里","497","1439","752","687",186,184,134,154,161,198,67,55,25,18,573,609
"10309","新北市板橋區","正泰里","1085","3237","1558","1679",406,406,370,360,435,340,164,128,28,13,1403,1247
"10309","新北市板橋區","民安里","857","2240","1080","1160",209,237,268,225,265,222,168,123,45,47,955,854
"10309","新北市板橋區","民族里","1746","5044","2489","2555",476,485,681,576,464,425,225,187,45,44,1891,1717
"10309","新北市板橋區","民權里","1072","2780","1393","1387",259,324,301,306,355,302,215,161,60,60,1190,1153
"10309","新北市板橋區","民生里","918","2452","1159","1293",296,295,328,276,316,244,105,85,23,15,1068,915
"10309","新北市板橋區","永安里","1422","3734","1824","1910",383,430,500,477,453,347,162,153,45,22,1543,1429
"10309","新北市板橋區","江翠里","1840","5073","2514","2559",573,606,615,642,617,538,285,211,64,45,2154,2042
"10309","新北市板橋區","流芳里","643","1582","740","842",157,128,225,150,187,173,88,83,46,25,703,559
"10309","新北市板橋區","浮洲里","1438","4361","2254","2107",510,558,394,452,529,493,248,303,61,63,1742,1869
"10309","新北市板橋區","海山里","2923","8870","4206","4664",865,879,1274,954,873,752,337,257,89,61,3438,2903
"10309","新北市板橋區","深丘里","3666","9198","4357","4841",941,925,1289,994,1032,864,350,280,77,61,3689,3124
"10309","新北市板橋區","港嘴里","2429","6468","3236","3232",788,841,769,767,846,748,310,227,72,51,2785,2634
"10309","新北市板橋區","港尾里","1096","3070","1440","1630",363,343,401,331,423,313,124,95,21,25,1332,1107
"10309","新北市板橋區","港德里","1955","5200","2555","2645",624,637,584,581,674,542,302,227,74,56,2258,2043
"10309","新北市板橋區","湳興里","2312","5799","2810","2989",681,662,746,731,709,571,303,229,89,73,2528,2266
"10309","新北市板橋區","溪北里","1329","3808","1876","1932",439,491,440,437,441,370,210,130,48,29,1578,1457
"10309","新北市板橋區","溪洲里","2178","6382","3128","3254",759,807,763,725,770,657,270,220,59,43,2621,2452
"10309","新北市板橋區","溪福里","5031","15076","7446","7630",1629,1739,2301,2028,1481,1237,323,290,54,51,5788,5345
"10309","新北市板橋區","溪頭里","2390","6268","3082","3186",686,695,840,844,776,596,308,253,72,46,2682,2434
"10309","新北市板橋區","滿翠里","1150","3228","1569","1659",400,366,383,365,424,332,187,172,28,26,1422,1261
"10309","新北市板橋區","漢生里","1719","4591","2231","2360",464,506,539,437,589,522,258,233,94,59,1944,1757
"10309","新北市板橋區","玉光里","2139","5730","2695","3035",615,599,812,673,658,521,249,205,61,37,2395,2035
"10309","新北市板橋區","留侯里","675","1674","800","874",164,195,225,164,216,196,87,69,26,21,718,645
"10309","新北市板橋區","百壽里","949","2552","1221","1331",236,256,362,298,294,231,146,118,40,41,1078,944
"10309","新北市板橋區","社後里","4573","8961","4970","3991",860,1018,964,1290,1147,1489,399,411,98,140,3468,4348
"10309","新北市板橋區","福丘里","2162","4910","2287","2623",492,464,721,534,599,470,221,181,68,46,2101,1695
"10309","新北市板橋區","福壽里","1261","3487","1743","1744",411,481,397,402,477,404,161,120,33,22,1479,1429
"10309","新北市板橋區","福安里","1020","2756","1368","1388",332,399,275,312,391,294,149,99,29,54,1176,1158
"10309","新北市板橋區","福德里","1958","5444","2736","2708",538,602,709,676,582,540,327,258,77,63,2233,2139
"10309","新北市板橋區","福星里","1326","3724","1782","1942",413,385,463,406,444,378,209,155,60,40,1589,1364
"10309","新北市板橋區","福祿里","1580","4216","1989","2227",477,431,539,472,512,416,216,148,48,46,1792,1513
"10309","新北市板橋區","福翠里","560","1432","736","696",158,166,155,183,177,187,84,68,33,33,607,637
"10309","新北市板橋區","純翠里","2094","5704","2784","2920",633,729,749,691,702,575,300,221,48,40,2432,2256
"10309","新北市板橋區","聚安里","1996","5684","2874","2810",749,799,615,680,760,606,200,208,36,62,2360,2355
"10309","新北市板橋區","聯翠里","1641","3804","1794","2010",370,340,617,547,439,349,222,167,50,36,1698,1439
"10309","新北市板橋區","自強里","2045","5424","2679","2745",583,673,562,534,759,639,366,308,105,76,2375,2230
"10309","新北市板橋區","自立里","1094","2994","1456","1538",333,346,363,351,363,305,182,147,43,27,1284,1176
"10309","新北市板橋區","莊敬里","1629","4448","2155","2293",425,481,715,540,502,402,140,95,26,21,1808,1539
"10309","新北市板橋區","莒光里","1177","3202","1549","1653",333,358,385,352,392,311,180,141,50,32,1340,1194
"10309","新北市板橋區","華中里","1936","5682","2846","2836",761,873,598,570,802,663,160,169,42,35,2363,2310
"10309","新北市板橋區","華德里","2916","7457","3628","3829",826,854,1044,1003,901,685,314,264,58,52,3143,2858
"10309","新北市板橋區","華東里","2914","7100","3447","3653",803,833,938,897,935,761,321,254,73,64,3070,2809
"10309","新北市板橋區","華江里","3077","7567","3513","4054",754,773,1218,898,817,645,308,221,63,52,3160,2589
"10309","新北市板橋區","華福里","775","2260","1095","1165",287,283,219,209,346,289,121,78,24,25,997,884
"10309","新北市板橋區","華翠里","1391","3922","1892","2030",431,464,495,427,485,402,182,127,50,31,1643,1451
"10309","新北市板橋區","華興里","1589","4335","2104","2231",510,484,567,568,550,418,188,145,45,50,1860,1665
"10309","新北市板橋區","華貴里","1016","2908","1393","1515",337,326,349,355,362,276,183,131,36,26,1267,1114
"10309","新北市板橋區","西安里","1060","2923","1442","1481",290,311,376,335,331,312,161,119,53,47,1211,1124
"10309","新北市板橋區","赤松里","329","852","419","433",73,76,116,85,84,90,55,58,16,7,344,316
"10309","新北市板橋區","鄉雲里","1549","3902","1859","2043",432,402,535,488,479,371,221,162,58,51,1725,1474
"10309","新北市板橋區","重慶里","3337","9351","4556","4795",1075,1178,1217,1103,1214,929,323,272,62,74,3891,3556
"10309","新北市板橋區","金華里","1470","4238","2064","2174",510,552,491,471,547,421,221,165,42,50,1811,1659
"10309","新北市板橋區","長壽里","1002","2962","1454","1508",340,389,336,319,390,339,157,123,56,28,1279,1198
"10309","新北市板橋區","長安里","1747","5046","2455","2591",522,556,682,550,574,440,165,145,44,34,1987,1725
"10309","新北市板橋區","陽明里","1049","3005","1463","1542",388,363,342,329,398,326,171,144,34,33,1333,1195
"10309","新北市板橋區","雙玉里","1526","4283","2079","2204",395,431,611,548,454,382,208,154,53,34,1721,1549
"10309","新北市板橋區","青翠里","1209","3195","1629","1566",341,401,384,400,384,370,191,126,32,28,1332,1325
"10309","新北市板橋區","香丘里","1479","4143","2019","2124",432,451,518,455,481,419,183,150,47,42,1661,1517
"10309","新北市板橋區","香社里","1597","4637","2299","2338",556,600,531,522,577,496,240,180,45,50,1949,1848
"10309","新北市板橋區","香雅里","985","2718","1347","1371",333,375,299,279,367,298,143,125,36,27,1178,1104
"10309","新北市板橋區","黃石里","449","1224","599","625",118,122,150,126,139,110,68,61,29,23,504,442
"10309","新北市板橋區","龍安里","1098","3044","1491","1553",402,401,321,319,399,325,157,124,32,48,1311,1217
"10309","新北市板橋區","龍翠里","1975","5272","2570","2702",630,642,669,654,678,524,256,207,46,27,2279,2054
"10309","新北市三重區","三安里","1229","2838","1371","1467",319,316,367,319,344,320,170,142,71,40,1271,1137
"10309","新北市三重區","三民里","1268","3540","1760","1780",405,429,388,410,429,372,165,132,42,25,1429,1368
"10309","新北市三重區","中央里","795","1831","925","906",180,232,215,224,234,205,119,93,30,18,778,772
"10309","新北市三重區","中山里","1133","2807","1372","1435",319,318,345,300,364,330,144,110,58,38,1230,1096
"10309","新北市三重區","中正里","567","1482","732","750",165,204,153,167,211,184,86,54,34,21,649,630
"10309","新北市三重區","中民里","536","1374","691","683",145,180,138,143,183,184,75,52,38,25,579,584
"10309","新北市三重區","中興里","1475","3933","1976","1957",476,474,473,468,461,489,180,184,52,33,1642,1648
"10309","新北市三重區","二重里","607","1810","920","890",206,247,201,226,199,192,95,78,14,15,715,758
"10309","新北市三重區","五常里","1469","4458","2198","2260",522,565,588,547,500,421,190,152,54,39,1854,1724
"10309","新北市三重區","五福里","1583","4015","1950","2065",473,467,551,582,459,350,175,132,41,27,1699,1558
"10309","新北市三重區","五華里","2031","5389","2612","2777",631,646,737,710,640,490,215,179,50,20,2273,2045
"10309","新北市三重區","五谷里","744","1846","964","882",196,221,221,244,209,244,110,89,31,20,767,818
"10309","新北市三重區","五順里","1434","4198","2097","2101",499,547,480,517,517,404,190,151,44,21,1730,1640
"10309","新北市三重區","仁德里","862","2101","1089","1012",194,253,253,252,265,277,145,131,27,27,884,940
"10309","新北市三重區","仁忠里","1263","3437","1708","1729",398,445,420,403,434,370,159,140,29,19,1440,1377
"10309","新北市三重區","仁義里","457","1236","607","629",160,139,140,158,126,129,84,52,24,17,534,495
"10309","新北市三重區","仁華里","1680","4475","2216","2259",547,606,540,538,582,471,194,151,34,28,1897,1794
"10309","新北市三重區","介壽里","521","1303","637","666",126,152,156,137,166,159,83,53,33,13,564,514
"10309","新北市三重區","信安里","852","2157","1068","1089",205,245,294,288,250,199,117,84,27,21,893,837
"10309","新北市三重區","光明里","2967","7781","3801","3980",855,883,1036,902,958,803,298,221,101,73,3248,2882
"10309","新北市三重區","光榮里","648","1485","730","755",154,182,181,167,204,188,80,65,42,19,661,621
"10309","新北市三重區","光正里","1227","2395","1181","1214",272,290,375,374,284,238,104,62,16,29,1051,993
"10309","新北市三重區","光田里","1903","4644","2270","2374",485,512,627,588,587,510,292,222,58,40,2049,1872
"10309","新北市三重區","光華里","875","2059","1025","1034",206,226,259,250,278,244,128,102,33,27,904,849
"10309","新北市三重區","光輝里","634","1623","820","803",182,213,170,170,225,220,86,72,35,16,698,691
"10309","新北市三重區","光陽里","2536","6508","3259","3249",724,839,782,794,894,760,307,233,82,58,2789,2684
"10309","新北市三重區","六合里","1502","4035","2017","2018",435,488,487,463,473,459,229,153,54,38,1678,1601
"10309","新北市三重區","六福里","2009","5994","2971","3023",765,862,673,601,789,639,205,174,37,22,2469,2298
"10309","新北市三重區","博愛里","1628","4913","2388","2525",699,696,529,534,655,542,218,142,41,39,2142,1953
"10309","新北市三重區","厚德里","1408","3847","1884","1963",419,402,525,437,419,401,172,154,38,38,1573,1432
"10309","新北市三重區","吉利里","635","1522","770","752",161,185,203,186,194,205,82,55,32,18,672,649
"10309","新北市三重區","同安里","591","1554","778","776",197,189,157,194,186,174,89,53,26,30,655,640
"10309","新北市三重區","同慶里","752","1962","986","976",209,261,260,220,236,216,97,72,27,40,829,809
"10309","新北市三重區","國隆里","1088","2845","1376","1469",320,328,380,335,369,303,145,103,36,24,1250,1093
"10309","新北市三重區","培德里","1434","4022","2001","2021",447,510,465,461,514,435,195,163,48,28,1669,1597
"10309","新北市三重區","大同里","898","1998","950","1048",229,224,271,251,275,240,103,76,36,20,914,811
"10309","新北市三重區","大園里","1044","2784","1398","1386",295,348,324,341,326,282,171,119,47,19,1163,1109
"10309","新北市三重區","大安里","677","1780","892","888",191,214,211,209,210,183,107,85,28,18,747,709
"10309","新北市三重區","大德里","357","863","407","456",86,98,113,108,109,87,63,43,17,12,388,348
"10309","新北市三重區","大有里","1970","5585","2773","2812",761,862,652,582,722,617,208,184,48,32,2391,2277
"10309","新北市三重區","奕壽里","765","1873","926","947",210,234,258,237,220,173,100,91,31,21,819,756
"10309","新北市三重區","安慶里","884","2182","1074","1108",255,261,279,231,268,270,127,98,40,18,969,878
"10309","新北市三重區","富福里","779","2261","1094","1167",280,292,259,236,305,245,103,88,16,11,963,872
"10309","新北市三重區","富華里","1319","3426","1751","1675",409,453,404,459,389,346,160,126,26,25,1388,1409
"10309","新北市三重區","富貴里","2654","6288","3024","3264",770,751,859,836,832,606,223,168,50,26,2734,2387
"10309","新北市三重區","尚德里","1231","3327","1629","1698",370,419,391,387,428,327,170,153,49,31,1408,1317
"10309","新北市三重區","崇德里","1512","4309","2164","2145",493,510,490,565,521,446,257,205,53,34,1814,1760
"10309","新北市三重區","平和里","648","1636","841","795",184,183,165,203,196,195,120,88,40,29,705,698
"10309","新北市三重區","幸福里","1811","4827","2381","2446",547,589,572,574,594,498,267,199,66,45,2046,1905
"10309","新北市三重區","德厚里","181","440","219","221",48,46,44,54,53,61,41,26,13,3,199,190
"10309","新北市三重區","忠孝里","736","1889","938","951",205,223,209,209,223,207,141,116,34,31,812,786
"10309","新北市三重區","慈化里","945","2743","1328","1415",360,351,322,321,321,271,126,87,27,14,1156,1044
"10309","新北市三重區","慈惠里","838","2357","1172","1185",297,329,269,279,293,237,135,93,30,16,1024,954
"10309","新北市三重區","慈愛里","1379","3765","1856","1909",462,518,434,440,506,415,210,162,44,31,1656,1566
"10309","新北市三重區","慈生里","897","2485","1229","1256",288,324,276,286,311,264,168,125,37,26,1080,1025
"10309","新北市三重區","慈祐里","1737","5006","2518","2488",575,590,632,656,552,482,234,226,57,44,2050,1998
"10309","新北市三重區","慈福里","945","2395","1218","1177",286,321,276,297,305,232,143,124,34,31,1044,1005
"10309","新北市三重區","成功里","2658","6384","3087","3297",644,680,969,914,725,573,263,175,57,42,2658,2384
"10309","新北市三重區","承德里","668","1973","1004","969",189,234,227,244,217,191,138,116,43,17,814,802
"10309","新北市三重區","文化里","956","2524","1277","1247",252,266,267,305,312,290,165,143,62,41,1058,1045
"10309","新北市三重區","正安里","841","2075","1013","1062",222,220,244,234,285,252,109,103,45,14,905,823
"10309","新北市三重區","正德里","492","1228","583","645",124,136,127,140,164,138,83,55,24,13,522,482
"10309","新北市三重區","正義里","750","1953","988","965",214,243,220,225,242,232,118,82,28,28,822,810
"10309","新北市三重區","民生里","1712","4537","2251","2286",510,539,556,504,533,512,227,192,76,39,1902,1786
"10309","新北市三重區","永吉里","1217","3262","1580","1682",349,392,458,368,374,339,144,101,31,19,1356,1219
"10309","新北市三重區","永安里","1566","4584","2233","2351",498,523,616,533,503,442,185,128,30,25,1832,1651
"10309","新北市三重區","永德里","1917","5469","2701","2768",603,662,669,602,623,543,251,207,82,34,2228,2048
"10309","新北市三重區","永春里","788","2116","1035","1081",235,251,255,264,270,213,105,87,22,18,887,833
"10309","新北市三重區","永清里","2063","6190","3001","3189",748,763,775,650,764,615,250,200,46,23,2583,2251
"10309","新北市三重區","永煇里","950","2670","1381","1289",335,407,265,304,364,298,111,128,25,16,1100,1153
"10309","新北市三重區","永發里","2132","6154","3066","3088",819,907,712,689,800,629,194,177,35,22,2560,2424
"10309","新北市三重區","永盛里","1278","3682","1800","1882",388,415,472,428,418,340,181,152,36,20,1495,1355
"10309","新北市三重區","永福里","2000","5862","2846","3016",674,738,743,674,659,567,238,182,43,37,2357,2198
"10309","新北市三重區","永興里","607","1376","661","715",134,159,184,179,203,155,71,51,27,20,619,564
"10309","新北市三重區","永豐里","2078","6272","3057","3215",740,767,853,697,689,619,178,143,44,29,2504,2255
"10309","新北市三重區","永順里","1837","5498","2660","2838",696,698,705,629,649,527,184,158,45,24,2279,2036
"10309","新北市三重區","清和里","1798","3880","1849","2031",403,424,586,537,557,416,170,145,39,30,1755,1552
"10309","新北市三重區","溪美里","3127","8276","4019","4257",954,1029,1145,1040,1004,820,334,265,78,54,3515,3208
"10309","新北市三重區","瑞德里","921","2556","1259","1297",269,275,316,301,279,282,156,111,47,40,1067,1009
"10309","新北市三重區","田中里","2275","6573","3267","3306",788,830,800,750,822,661,297,266,52,30,2759,2537
"10309","新北市三重區","田安里","2377","6554","3179","3375",738,780,861,783,834,640,290,229,85,50,2808,2482
"10309","新北市三重區","田心里","1569","4338","2170","2168",509,555,504,512,533,468,230,204,60,48,1836,1787
"10309","新北市三重區","碧華里","3047","6889","3302","3587",800,844,1043,963,815,599,226,172,51,35,2935,2613
"10309","新北市三重區","福利里","1051","2410","1128","1282",259,262,401,323,305,237,103,82,15,13,1083,917
"10309","新北市三重區","福安里","1242","3248","1610","1638",364,403,387,415,403,347,166,133,52,32,1372,1330
"10309","新北市三重區","福德里","1686","4190","1975","2215",473,463,578,473,523,439,212,138,46,36,1832,1549
"10309","新北市三重區","福星里","431","956","464","492",118,116,109,110,137,112,63,47,18,14,445,399
"10309","新北市三重區","福樂里","1519","4098","2058","2040",417,495,524,491,478,414,191,184,41,28,1651,1612
"10309","新北市三重區","福民里","1325","3716","1860","1856",429,463,426,422,451,409,182,155,45,32,1533,1481
"10309","新北市三重區","福田里","1263","3823","1926","1897",513,601,397,390,533,453,145,117,40,22,1628,1583
"10309","新北市三重區","福祉里","2237","5839","2861","2978",619,717,847,731,661,544,245,178,64,46,2436,2216
"10309","新北市三重區","福隆里","1788","4816","2344","2472",593,576,638,569,566,444,165,158,36,26,1998,1773
"10309","新北市三重區","秀江里","545","1483","754","729",137,156,167,190,168,163,89,70,34,16,595,595
"10309","新北市三重區","立德里","1295","3632","1787","1845",443,428,411,428,460,379,186,158,48,20,1548,1413
"10309","新北市三重區","維德里","1157","3177","1550","1627",361,385,387,355,407,304,152,147,34,21,1341,1212
"10309","新北市三重區","自強里","736","1996","993","1003",227,253,231,246,243,209,120,93,35,22,856,823
"10309","新北市三重區","菜寮里","839","2312","1127","1185",254,256,273,277,284,257,135,83,45,39,991,912
"10309","新北市三重區","萬壽里","814","2179","1046","1133",253,261,255,250,283,255,113,95,38,18,942,879
"10309","新北市三重區","谷王里","353","1055","564","491",111,126,87,126,123,142,64,53,30,24,415,471
"10309","新北市三重區","過田里","4716","9222","5023","4199",805,919,1145,1374,1119,1495,349,365,92,137,3510,4290
"10309","新北市三重區","重新里","617","1534","785","749",180,180,144,176,200,186,94,85,37,27,655,654
"10309","新北市三重區","重明里","1414","3814","1880","1934",385,407,476,462,412,353,213,169,45,56,1531,1447
"10309","新北市三重區","重陽里","1416","3891","1911","1980",442,454,461,428,472,426,210,164,56,40,1641,1512
"10309","新北市三重區","錦安里","788","2005","958","1047",217,218,229,236,262,217,147,111,49,35,904,817
"10309","新北市三重區","錦江里","930","2549","1281","1268",298,339,298,286,298,322,135,102,36,30,1065,1079
"10309","新北市三重區","錦田里","826","2251","1114","1137",235,251,265,282,272,233,128,101,41,27,941,894
"10309","新北市三重區","錦通里","648","1632","796","836",170,175,170,199,225,194,129,105,33,19,727,692
"10309","新北市三重區","長元里","1028","2626","1338","1288",271,332,322,338,337,298,130,108,43,28,1103,1104
"10309","新北市三重區","長安里","888","2336","1159","1177",273,289,248,265,302,285,144,107,52,25,1019,971
"10309","新北市三重區","長江里","873","2136","1066","1070",221,231,298,287,248,234,114,99,42,19,923,870
"10309","新北市三重區","長泰里","911","2389","1195","1194",280,287,263,281,307,288,125,109,48,23,1023,988
"10309","新北市三重區","長生里","376","918","452","466",94,117,105,101,122,107,67,36,20,21,408,382
"10309","新北市三重區","長福里","642","1671","819","852",187,183,208,232,213,172,90,85,29,15,727,687
"10309","新北市三重區","開元里","541","1379","705","674",146,188,151,158,183,178,90,73,26,20,596,617
"10309","新北市三重區","雙園里","413","1076","534","542",121,120,128,139,122,117,60,51,25,19,456,446
"10309","新北市三重區","頂崁里","854","2407","1240","1167",318,333,262,284,282,293,89,89,22,19,973,1018
"10309","新北市三重區","順德里","878","2406","1248","1158",263,326,254,289,274,274,154,129,45,25,990,1043
"10309","新北市三重區","龍濱里","1226","3472","1728","1744",387,413,443,438,397,353,182,134,43,32,1452,1370
"10309","新北市三重區","龍門里","766","2023","1013","1010",212,248,240,237,232,220,125,79,36,28,845,812
"10309","新北市中和區","中原里","2056","5085","2495","2590",570,560,700,722,630,573,207,176,45,31,2152,2062
"10309","新北市中和區","中安里","2092","4486","2117","2369",416,436,588,501,680,538,294,197,103,105,2081,1777
"10309","新北市中和區","中山里","1135","3112","1520","1592",303,379,394,364,421,309,147,115,40,31,1305,1198
"10309","新北市中和區","中正里","1564","4274","2114","2160",482,509,527,493,534,471,227,166,51,49,1821,1688
"10309","新北市中和區","中興里","2772","7190","3475","3715",756,790,1047,911,865,693,259,215,73,66,3000,2675
"10309","新北市中和區","仁和里","1576","4624","2303","2321",556,593,495,520,607,538,232,160,52,38,1942,1849
"10309","新北市中和區","佳和里","2028","4988","2384","2604",537,572,617,583,711,548,292,220,89,49,2246,1972
"10309","新北市中和區","信和里","1636","4579","2308","2271",490,537,568,595,551,441,240,202,56,61,1905,1836
"10309","新北市中和區","內南里","1835","5359","2737","2622",594,709,566,618,734,696,260,200,64,54,2218,2277
"10309","新北市中和區","冠穗里","1304","3604","1820","1784",480,541,375,366,529,453,143,123,31,28,1558,1511
"10309","新北市中和區","力行里","2447","6376","3049","3327",646,691,904,777,818,666,287,177,76,69,2731,2380
"10309","新北市中和區","南山里","2183","5425","2644","2781",542,556,795,726,672,539,295,229,72,66,2376,2116
"10309","新北市中和區","吉興里","1308","3275","1518","1757",365,346,467,426,420,323,151,78,35,48,1438,1221
"10309","新北市中和區","和興里","1835","4532","2200","2332",441,456,645,555,608,490,243,168,51,67,1988,1736
"10309","新北市中和區","員富里","1373","3508","1779","1729",410,478,456,453,411,367,148,116,35,27,1460,1441
"10309","新北市中和區","員山里","2622","6400","3122","3278",729,725,948,877,736,559,249,215,60,48,2722,2424
